G359.2+4.8-291 , 359.24 , 4.79  , -290.6 , 15.2 , 0.20 , 0.85 , 3.18 , 16.9 
G355.3+5.3-277 , 355.32 , 5.34  , -276.9 , 14.1 , 0.14 , 0.40 , 3.20 , 21.1 
G1.7+5.1-262   , 1.68   , 5.10  , -261.6 , 19.4 , 0.24 , 0.92 , 3.19 , 16.7 
G1.0+6.1-259   , 1.04   , 6.09  , -258.6 , 19.3 , 0.33 , 1.27 , 4.61 , 35.1 
G354.3+6.2-247 , 354.34 , 6.16  , -247.3 , 10.8 , 0.09 , 0.23 , 3.11 , 20.5 
G1.7+3.7-234   , 1.70   , 3.74  , -234.4 , 21.9 , 0.46 , 3.49 , 4.90 , 42.1 
G1.7+4.3-232   , 1.66   , 4.26  , -232.1 , 10.1 , 0.19 , 0.53 , 1.79 , 8.3  
G9.0-6.1-222   , 8.96   , -6.08 , -221.7 , 4.2  , 0.35 , 0.63 , 2.81 , 15.2 
G1.8+7.1-216   , 1.75   , 7.14  , -216.1 , 11.7 , 0.13 , 0.50 , 1.45 , 6.9  
G359.8+6.0-213 , 359.83 , 5.96  , -212.9 , 10.1 , 0.19 , 0.60 , 3.09 , 16.7 
G350.6+6.8-213 , 350.60 , 6.78  , -213.0 , 12.6 , 0.14 , 0.52 , 2.04 , 9.6  
G2.2+6.2-212   , 2.16   , 6.21  , -212.5 , 18.2 , 0.35 , 2.43 , 4.15 , 26.6 
G350.2+7.3-208 , 350.16 , 7.27  , -208.3 , 11.9 , 0.26 , 0.39 , 3.63 , 22.9 
G9.2-5.1-208   , 9.21   , -5.07 , -208.2 , 5.8  , 0.83 , 2.02 , 3.48 , 18.7 
G2.2+3.2-198   , 2.17   , 3.21  , -198.3 , 16.0 , 0.82 , 3.59 , 4.85 , 33.1 
G3.1+6.1-194   , 3.10   , 6.15  , -194.0 , 10.8 , 0.09 , 0.33 , 1.90 , 9.4  
G4.4+4.5-191   , 4.40   , 4.47  , -191.3 , 9.4  , 0.09 , 0.24 , 2.31 , 13.9 
G356.4-7.5-189 , 356.36 , -7.47 , -189.4 , 12.7 , 0.31 , 0.97 , 4.31 , 30.4 
G5.6+3.6-184   , 5.64   , 3.61  , -183.5 , 11.4 , 0.16 , 0.57 , 2.95 , 15.8 
G355.2+8.8-180 , 355.18 , 8.77  , -180.0 , 17.3 , 0.47 , 1.98 , 4.81 , 39.4 
G357.5+3.2-179 , 357.51 , 3.16  , -178.6 , 10.7 , 0.16 , 0.34 , 2.78 , 16.2 
G359.3-5.4-176 , 359.33 , -5.39 , -176.0 , 26.4 , 0.97 , 5.10 , 4.80 , 29.3 
G5.6-4.9-175   , 5.63   , -4.91 , -175.3 , 16.1 , 0.26 , 1.70 , 2.53 , 10.8 
G4.8+4.9-172   , 4.80   , 4.88  , -172.5 , 19.7 , 0.29 , 1.44 , 4.98 , 42.0 
G5.2+7.4-167   , 5.23   , 7.38  , -167.3 , 14.3 , 0.19 , 0.74 , 3.23 , 18.1 
G3.6+3.9-163   , 3.62   , 3.93  , -162.9 , 4.5  , 0.15 , 0.22 , 2.29 , 15.4 
G4.2+3.8-162   , 4.19   , 3.81  , -162.1 , 14.5 , 0.12 , 0.43 , 2.66 , 14.2 
G2.5-7.6-161   , 2.54   , -7.55 , -160.7 , 22.5 , 0.33 , 2.49 , 4.86 , 37.4 
G2.4+4.8-160   , 2.37   , 4.81  , -160.3 , 14.3 , 0.10 , 0.32 , 3.45 , 25.6 
G5.1+4.1-159   , 5.07   , 4.15  , -158.7 , 13.7 , 0.27 , 0.85 , 4.04 , 30.7 
G8.2+9.5-156   , 8.18   , 9.51  , -155.7 , 9.0  , 0.14 , 0.40 , 2.85 , 15.9 
G4.3+4.3-155   , 4.31   , 4.35  , -155.2 , 13.8 , 0.14 , 0.40 , 3.00 , 16.1 
G4.8+6.5-150   , 4.82   , 6.54  , -150.5 , 14.5 , 0.13 , 0.35 , 3.71 , 27.5 
G6.8+5.6-149   , 6.75   , 5.60  , -148.7 , 9.0  , 0.23 , 0.75 , 2.85 , 14.2 
G3.9-6.5-148   , 3.91   , -6.53 , -147.8 , 24.6 , 0.25 , 1.47 , 3.78 , 20.5 
G5.5+8.8-147   , 5.49   , 8.79  , -147.2 , 12.2 , 0.16 , 0.42 , 2.05 , 10.8 
G360.0+7.7-146 , 359.98 , 7.71  , -146.5 , 10.9 , 0.15 , 0.39 , 1.75 , 10.3 
G356.0-7.0-146 , 356.02 , -6.97 , -145.6 , 19.9 , 0.27 , 1.00 , 4.36 , 31.6 
G2.1-7.1-143   , 2.12   , -7.13 , -142.9 , 8.4  , 0.17 , 0.41 , 2.42 , 11.8 
G6.7+6.4-142   , 6.68   , 6.44  , -141.6 , 17.5 , 0.12 , 0.51 , 2.06 , 10.4 
G2.5-6.8-140   , 2.52   , -6.83 , -140.1 , 20.7 , 0.19 , 1.19 , 3.33 , 16.0 
G2.1-6.6-139   , 2.08   , -6.64 , -138.9 , 24.9 , 0.27 , 1.72 , 3.47 , 16.2 
G353.7-6.8-128 , 353.65 , -6.79 , -127.5 , 29.8 , 0.22 , 1.46 , 4.52 , 33.0 
G351.4+7.7-126 , 351.43 , 7.69  , -126.3 , 12.8 , 0.22 , 0.78 , 3.18 , 19.1 
G358.3+8.3-122 , 358.26 , 8.30  , -121.8 , 17.7 , 0.11 , 0.53 , 3.25 , 22.0 
G5.1+7.9-102   , 5.07   , 7.91  , -101.8 , 19.0 , 0.17 , 0.98 , 2.46 , 11.2 
G3.8+6.8-97    , 3.78   , 6.81  , -97.0  , 11.9 , 0.09 , 0.15 , 1.53 , 10.7 
G5.9+8.7-97    , 5.93   , 8.74  , -96.8  , 18.4 , 0.18 , 1.08 , 3.67 , 22.2 
G354.4-5.8-95  , 354.44 , -5.83 , -95.4  , 11.4 , 0.15 , 0.48 , 1.66 , 7.8  
G352.2-6.0-94  , 352.16 , -6.02 , -94.4  , 23.3 , 0.21 , 1.39 , 4.32 , 30.1 
G5.7+8.2-92    , 5.69   , 8.17  , -92.5  , 19.5 , 0.16 , 1.00 , 3.74 , 21.9 
G359.7-6.9-83  , 359.65 , -6.93 , -82.8  , 17.9 , 0.19 , 0.98 , 3.97 , 28.4 
G356.3-6.0-80  , 356.34 , -5.99 , -79.8  , 19.7 , 0.21 , 0.69 , 3.42 , 24.6 
G0.4-7.0-77    , 0.38   , -7.04 , -76.6  , 13.1 , 0.19 , 0.38 , 2.47 , 13.8 
G351.5+8.7+86  , 351.50 , 8.73  , 86.4   , 11.1 , 0.15 , 0.41 , 2.70 , 15.4 
G352.9-4.9+92  , 352.89 , -4.94 , 91.7   , 18.5 , 0.30 , 1.64 , 4.66 , 33.8 
G353.5+7.0+93  , 353.47 , 7.01  , 93.0   , 22.7 , 0.50 , 2.98 , 4.62 , 30.0 
G354.2-5.9+96  , 354.18 , -5.94 , 96.1   , 12.4 , 0.35 , 1.40 , 3.42 , 16.2 
G354.7+6.1+97  , 354.74 , 6.14  , 96.8   , 23.0 , 0.14 , 0.85 , 3.29 , 19.2 
G3.3+3.0+98    , 3.33   , 3.02  , 97.9   , 23.3 , 0.30 , 1.55 , 3.82 , 21.3 
G355.2+4.7+99  , 355.21 , 4.69  , 99.0   , 24.3 , 0.16 , 0.87 , 3.21 , 16.4 
G354.3-5.7+109 , 354.30 , -5.73 , 109.2  , 13.3 , 0.26 , 1.16 , 1.35 , 6.4  
G354.8+5.6+117 , 354.84 , 5.56  , 116.8  , 12.9 , 0.07 , 0.19 , 2.72 , 19.1 
G360.0+4.7+121 , 359.99 , 4.74  , 120.6  , 11.3 , 0.22 , 0.70 , 2.42 , 13.4 
G356.9+5.9+122 , 356.94 , 5.86  , 122.1  , 14.3 , 0.08 , 0.37 , 1.88 , 11.5 
G7.4+6.3+123   , 7.45   , 6.33  , 122.7  , 14.5 , 0.28 , 1.31 , 4.27 , 31.0 
G4.2-6.9+125   , 4.17   , -6.94 , 124.9  , 17.3 , 0.17 , 1.17 , 3.47 , 22.2 
G2.1-6.8+126   , 2.06   , -6.83 , 126.1  , 15.5 , 0.17 , 0.57 , 2.69 , 13.4 
G7.7+5.7+127   , 7.69   , 5.75  , 126.6  , 11.0 , 0.09 , 0.31 , 2.68 , 17.8 
G358.3-3.3+127 , 358.35 , -3.32 , 126.9  , 17.1 , 0.37 , 0.97 , 3.59 , 21.1 
G0.3+6.7+131   , 0.28   , 6.71  , 131.2  , 28.2 , 0.24 , 1.83 , 3.17 , 13.4 
G356.4+6.7+132 , 356.40 , 6.73  , 131.5  , 18.0 , 0.07 , 0.26 , 2.48 , 17.1 
G8.5+7.4+134   , 8.54   , 7.40  , 133.7  , 17.4 , 0.14 , 0.50 , 2.24 , 11.8 
G7.8+3.2+142   , 7.76   , 3.18  , 142.3  , 16.4 , 0.22 , 0.81 , 2.74 , 14.5 
G9.3-7.5+149   , 9.33   , -7.48 , 149.2  , 14.7 , 0.17 , 0.53 , 3.08 , 16.4 
G355.9+4.7+150 , 355.94 , 4.72  , 149.7  , 27.9 , 0.16 , 0.82 , 3.79 , 25.7 
G3.1+4.6+155   , 3.09   , 4.55  , 154.8  , 15.7 , 0.17 , 1.02 , 3.61 , 26.0 
G359.3-6.3+157 , 359.28 , -6.31 , 157.1  , 13.6 , 0.19 , 0.88 , 3.52 , 23.1 
G358.1-3.9+161 , 358.15 , -3.87 , 160.9  , 10.2 , 1.16 , 3.03 , 4.32 , 27.1 
G2.6+6.7+163   , 2.63   , 6.70  , 162.7  , 17.1 , 0.22 , 1.22 , 3.34 , 18.3 
G359.4-5.3+164 , 359.42 , -5.30 , 164.0  , 14.2 , 0.21 , 0.87 , 2.35 , 11.3 
G8.9-7.3+165   , 8.91   , -7.30 , 164.9  , 7.7  , 0.12 , 0.46 , 1.84 , 9.3  
G5.9+5.0+165   , 5.86   , 5.00  , 165.4  , 22.5 , 0.10 , 0.50 , 3.04 , 19.2 
G359.8-7.2+170 , 359.76 , -7.18 , 170.0  , 9.7  , 0.20 , 0.51 , 2.65 , 15.5 
G2.0+5.7+179   , 1.97   , 5.66  , 178.9  , 9.4  , 0.18 , 0.55 , 2.62 , 13.4 
G358.7+3.7+179 , 358.73 , 3.72  , 179.4  , 40.1 , 0.53 , 5.07 , 5.09 , 40.7 
G4.2-5.1+180   , 4.19   , -5.13 , 180.0  , 17.4 , 0.18 , 1.01 , 2.36 , 12.0 
G9.9-5.4+186   , 9.91   , -5.44 , 186.3  , 11.0 , 0.71 , 2.00 , 4.37 , 29.4 
G359.8+3.9+188 , 359.76 , 3.94  , 187.8  , 18.8 , 0.18 , 0.94 , 3.03 , 15.0 
G357.1+4.7+188 , 357.05 , 4.71  , 188.1  , 28.6 , 0.22 , 2.16 , 4.11 , 23.2 
G4.1+4.5+196   , 4.05   , 4.54  , 196.2  , 12.6 , 0.08 , 0.38 , 1.90 , 10.4 
G356.4+5.3+201 , 356.38 , 5.25  , 201.0  , 17.4 , 0.24 , 1.11 , 4.12 , 33.4 
G8.8+9.7+202   , 8.82   , 9.73  , 202.1  , 12.9 , 0.27 , 1.08 , 4.19 , 30.1 
G357.2+6.2+206 , 357.22 , 6.18  , 205.7  , 18.5 , 0.15 , 0.83 , 2.57 , 12.2 
G4.1+4.6+208   , 4.09   , 4.56  , 207.6  , 16.8 , 0.07 , 0.41 , 1.24 , 8.0  
G4.5-6.0+208   , 4.55   , -5.96 , 207.7  , 18.3 , 0.14 , 0.55 , 2.95 , 18.2 
G4.2+5.5+210   , 4.20   , 5.52  , 209.6  , 37.7 , 0.56 , 5.54 , 5.53 , 53.5 
G4.6-6.7+217   , 4.57   , -6.71 , 217.1  , 25.0 , 0.28 , 1.68 , 4.13 , 24.2 
G4.1+4.5+217   , 4.14   , 4.53  , 217.1  , 14.8 , 0.07 , 0.22 , 1.57 , 9.9  
G355.7-7.4+249 , 355.71 , -7.40 , 249.1  , 17.7 , 0.18 , 0.98 , 4.28 , 32.8 
G358.3-4.3+249 , 358.32 , -4.33 , 249.1  , 5.6  , 0.23 , 0.37 , 2.18 , 10.5 
G4.0+5.2+264   , 4.01   , 5.24  , 264.3  , 13.6 , 0.11 , 0.41 , 1.16 , 7.1  
G357.5+5.8+270 , 357.52 , 5.76  , 269.9  , 27.3 , 0.84 , 5.71 , 5.12 , 37.5 
G0.1-7.2+282   , 0.07   , -7.22 , 281.9  , 14.1 , 0.20 , 0.92 , 3.01 , 14.7 
G0.1+7.6+327   , 0.08   , 7.62  , 326.9  , 17.8 , 0.15 , 0.55 , 2.83 , 15.8 
G3.5+8.6+366   , 3.50   , 8.63  , 365.9  , 20.6 , 0.27 , 1.50 , 3.85 , 20.9 
